Name | Role | Password
Rodain | Admin | 777
Lina Al Darwish | Store Employee | 12345
Khalil Al Yasin | Store Manager | 999
Ahmed Al Hassan | Store Manager | 999
Mohammad Al Ali | Store Manager | 999
Ali Al Masri | Store Manager | 999
Omar Al Shami | Store Manager | 999
Youssef Al Khatib | Store Manager | 999
Samir Al Saad | Store Employee | 12345
Rami Al Qadi | Store Employee | 12345
Nour Al Hakim | Store Employee | 12345
Wissam Saed | Store Employee | 12345
Hadi Al Latif | Store Employee | 12345
Samira Al Nouri | Store Employee | 12345
Khaled Al Basha | Store Employee | 12345
Hassan Al Najjar | Store Employee | 12345
Hussein Al Azzam | Store Employee | 12345
Ibrahim Al Hamwi | Store Employee | 12345
Mustafa Al Rifai | Store Employee | 12345
Nasser Al Halabi | Store Employee | 12345
Tarek Al Deeb | Store Employee | 12345
Bilal Al Nabulsi | Store Employee | 12345
Karim Al Karam | Store Employee | 12345
Ziad Al Asaad | Store Employee | 12345
Hadi Al Zayani | Store Employee | 12345
Fadi Al Jaber | Store Employee | 12345
Walid Al Sayegh | Store Employee | 12345
Maher Al Husseini | Store Employee | 12345
Hamza Al Salman | Store Employee | 12345
Saeed Al Fares | Store Employee | 12345
Adel Al Sharif | Store Employee | 12345
Sami Al Hariri | Store Employee | 12345
Rana Al Hamad | Store Employee | 12345
Maya Al Saleh | Store Employee | 12345
Yara Al Haj | Store Employee | 12345
Rasha Al Khalil | Store Employee | 12345
Nabil Al Zain | Store Employee | 12345
Bassam Al Rawi | Store Employee | 12345
Salma Al Khatib | Store Employee | 12345
